siren_nic,code_attraction_centre,code_commune_geo,name_commune_src_attr,name_attraction_centre,category_attraction_centre,code_region,name_region,code_department,code_commune_geo.y,name_commune,population_commune,latitude,longitude,siren.x,nic.x,siret,date_creation,year_workforce_record_update,date_latest_update,headquarter,date_creation_legal_unit,category,legal_shop_name,acronym_shop,popular_name_1,popular_name_2,popular_name_3,owner_gender,owner_lastname,owner_lastname_chosen,owner_firstname_1,owner_firstname_2,owner_firstname_3,owner_firstname_4,owner_firstname_used,owner_pseudonym,apen_code,rna_registration_code,social_category,workforce_category,year_workforce_survey,nic_centralized,date_sirene_last_update,category_business,year_category_survey,shop_address_complement_1,name_commune_src_etab,shop_address_complement_2,franchise_1,franchise_2,franchise_3,shop_name_public,shop_address_1,shop_address_2,population_attr_centre,siren.y,nic.y,franchise,carte_blanche,itelis,kalixia,sante_clair,seveane,promotion,audio_service,image date,website,shop_address_python,shop_lat,shop_long
43122446830,513,17051,Le Bois-Plage-en-Ré,La Flotte,12,75,Nouvelle-Aquitaine,17,51,Le Bois-Plage-en-Ré,2279,46.18252837,-1.376259081,431224468,30,4.31E+13,17-09-2019 00:00,2019,27-10-2021 08:10,TRUE,24-03-2000 00:00,5710,I ET J ROYER,,,,,,,,,,,,,,47.78A,,N,1,2019,30,27-10-2021 08:10,PME,2019,,LE BOIS-PLAGE-EN-RE,,,,,,8 C RUE DU POLYGONE 17580,  ,8560,,,,,,,,,,,,,8+C+RUE+DU+POLYGONE+17580+Le Bois-Plage-en-Ré,46.183864,-1.399848
39306867114,624,72176,Le Lude,Le Lude,11,52,Pays de la Loire,72,176,Le Lude,4328,47.65425485,0.150109969,393068671,14,3.93E+13,01-11-1993 00:00,2019,27-10-2021 08:21,TRUE,01-11-1993 00:00,5499,OPTIQUE CHAPUY,,,,,,,,,,,,,,47.78A,,N,3,2019,14,27-10-2021 08:21,PME,2019,51,LE LUDE,,,,,,49 RUE D OREE 72800,  ,5122,393068671,14,,0,0,0,0,0,,1,01-03-2022 00:00,https://www.lecollectifdeslunetiers.fr/opticien/france/sarthe/opticien-le-lude/lelude-72,49+RUE+D+OREE+72800+Le Lude,47.645312,0.157259
52829615521,624,72176,Le Lude,Le Lude,11,52,Pays de la Loire,72,176,Le Lude,4328,47.65425485,0.150109969,528296155,21,5.28E+13,01-01-2011 00:00,2019,27-10-2021 08:34,FALSE,15-11-2010 00:00,5499,N.T.C OPTIC,,,,,,,,,,,,,,47.78A,,,2,2019,13,27-10-2021 08:34,PME,2019,CENTRE COMMERCIAL INTERMARCHE,LE LUDE,,LYNX,,,, AV DE SAUMUR 72800,  ,5122,528296155,21,,0,0,0,0,0,,0,01-02-2022 00:00,https://www.lynx-optique.com/opticien/france/sarthe/opticien-le-lude/lelude-72,AV+DE+SAUMUR+72800+Le Lude,47.640407,0.153604
39044989016,489,27428,Le Neubourg,Le Neubourg,11,28,Normandie,27,428,Le Neubourg,4375,49.14827903,0.897176574,390449890,16,3.90E+13,01-01-1993 00:00,2019,27-10-2021 08:18,TRUE,01-01-1993 00:00,5499,SARL OPTIQUE DU NEUBOURG,,OPTIQUE HIRON,,,,,,,,,,,,47.78A,,N,0,2019,16,27-10-2021 08:18,PME,2019,,LE NEUBOURG,,,,,,46 RUE DU GAL DE GAULLE 27110,  ,9606,,,,,,,,,,,,,46+RUE+DU+GAL+DE+GAULLE+27110+Le Neubourg,49.149718,0.904567
48834620629,489,27428,Le Neubourg,Le Neubourg,11,28,Normandie,27,428,Le Neubourg,4375,49.14827903,0.897176574,488346206,29,4.88E+13,15-01-2007 00:00,2019,27-10-2021 08:25,TRUE,01-01-2006 00:00,5499,LABORDE 2 OPTIQUE,,LABORDE 2 OPTIQUE,,,,,,,,,,,,47.78A,,N,2,2019,29,27-10-2021 08:25,PME,2019,,LE NEUBOURG,,SARL LABORDE  2 OPTIQUE,,,,1 RUE DUPONT DE L'EURE 27110,  ,9606,,,,,,,,,,,,,1+RUE+DUPONT+DE+L'EURE+27110+Le Neubourg,49.149582,0.904457
82386202410,489,27428,Le Neubourg,Le Neubourg,11,28,Normandie,27,428,Le Neubourg,4375,49.14827903,0.897176574,823862024,10,8.24E+13,10-11-2016 00:00,2019,27-10-2021 09:29,TRUE,10-11-2016 00:00,5499,YADE,,,,,,,,,,,,,,47.78A,,,1,2019,10,27-10-2021 09:29,PME,2019,,LE NEUBOURG,,KRYS,,,,43 RUE DUPONT DE L'EURE 27110,  ,9606,,,,,,,,,,,,,43+RUE+DUPONT+DE+L'EURE+27110+Le Neubourg,49.148881,0.903179
84927240618,489,27428,Le Neubourg,Le Neubourg,11,28,Normandie,27,428,Le Neubourg,4375,49.14827903,0.897176574,849272406,18,8.49E+13,19-03-2019 00:00,2019,27-10-2021 09:47,TRUE,19-03-2019 00:00,5499,OPTIQUE HALBOUT,,,,,,,,,,,,,,47.78A,,N,1,2019,18,27-10-2021 09:47,PME,2019,,LE NEUBOURG,,,,,OPTIQUE HALBOUT,46 RUE DU GENERAL DE GAULLE 27110,  ,9606,,,,,,,,,,,,,46+RUE+DU+GENERAL+DE+GAULLE+27110+Le Neubourg,49.149718,0.904567
48241864712,520,38315,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,11,84,Auvergne-Rhône-Alpes,38,315,Le Pont-de-Beauvoisin,3771,45.53187855,5.661666385,482418647,12,4.82E+13,20-06-2005 00:00,,14-11-2019 14:00,TRUE,20-06-2005 00:00,5499,CLERE OPTIQUE,,OLIVIER OPTIQUE,,,,,,,,,,,,47.78A,,,,,12,09-07-2020 10:39,PME,2019,,LE PONT-DE-BEAUVOISIN,,,,,,15 PL DE LA REPUBLIQUE 38480,  ,8467,,,,,,,,,,,,,15+PL+DE+LA+REPUBLIQUE+38480+Le Pont-de-Beauvoisin,45.535691,5.671229
48468329710,520,73204,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,12,84,Auvergne-Rhône-Alpes,73,204,Le Pont-de-Beauvoisin,2106,45.53564356,5.681423499,484683297,10,4.85E+13,07-10-2005 00:00,2019,27-10-2021 08:22,TRUE,07-10-2005 00:00,5499,PDB OPTIC,,,,,,,,,,,,,,47.78A,,N,1,2019,10,27-10-2021 08:22,PME,2019,,LE PONT-DE-BEAUVOISIN,,,,,,1 RUE DE L'HOTEL DE VILLE 73330,  ,8467,,,,,,,,,,,,,1+RUE+DE+L'HOTEL+DE+VILLE+73330+Le Pont-de-Beauvoisin,45.536071,5.672729
5.12E+11,520,73204,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,12,84,Auvergne-Rhône-Alpes,73,204,Le Pont-de-Beauvoisin,2106,45.53564356,5.681423499,511959116,100,5.12E+13,23-11-2020 00:00,,22-11-2021 17:35,FALSE,01-04-2009 00:00,5710,RYSOPTIC,,,,,,,,,,,,,,47.78A,,N,12,2019,76,22-11-2021 17:37,PME,2019,,LE PONT-DE-BEAUVOISIN,,OPTICAL CENTER,,,, LD LA BARONNIE 73330,  ,8467,,,,,,,,,,,,,LD+LA+BARONNIE+73330+Le Pont-de-Beauvoisin,45.535634,5.674089
52912420816,520,73204,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,12,84,Auvergne-Rhône-Alpes,73,204,Le Pont-de-Beauvoisin,2106,45.53564356,5.681423499,529124208,16,5.29E+13,01-12-2010 00:00,2019,27-10-2021 08:35,TRUE,01-12-2010 00:00,5710,OPTIQUE C. MARIN,,,,,,,,,,,,,,47.78A,,,3,2019,16,27-10-2021 08:35,PME,2019,,LE PONT-DE-BEAUVOISIN,,,,,,  LA BARONNIE 73330,  ,8467,,,,,,,,,,,,,LA+BARONNIE+73330+Le Pont-de-Beauvoisin,45.534892,5.679367
63362015812,520,38315,Le Pont-de-Beauvoisin,Le Pont-de-Beauvoisin,11,84,Auvergne-Rhône-Alpes,38,315,Le Pont-de-Beauvoisin,3771,45.53187855,5.661666385,633620158,12,6.34E+13,01-01-1900 00:00,2019,27-10-2021 08:47,TRUE,01-01-1963 00:00,5710,SDOL,,VISUAL,,,,,,,,,,,,47.78A,,N,11,2019,12,17-12-2021 11:16,PME,2019,,LE PONT-DE-BEAUVOISIN,,GRAND OPTICAL,,,OPTIQUE A. ESCOFFIER,25 RUE ALEXANDRE DUMAS 38480,  ,8467,,,,,,,,,,,,,25+RUE+ALEXANDRE+DUMAS+38480+Le Pont-de-Beauvoisin,45.53621,5.670951
