commune_code,long_centroid,lat_centroid
39006,5.809560404,46.95573048
73006,6.613466776,45.56632133
76400,0.918758574,49.82283454
60104,2.291938631,49.63412535
66003,2.683267543,42.44393224
10034,4.378859908,48.11326142
69006,4.328311031,45.9646605
39013,5.773106067,46.89432978
16106,0.662332512,46.02471244
50410,-1.468531685,48.56048443
67434,7.089417728,48.94529142
65025,-0.09560843,43.00536131
36006,1.492700542,46.57870217
64493,-1.037589727,43.31524295
54039,6.741193011,48.45025317
66016,3.099514361,42.46128288
40224,-1.107062256,43.55871641
49127,-0.254310659,47.67830923
88078,6.716260231,48.21299212
56010,-3.03071505,47.87544532
19276,1.565430778,45.42416486
22209,-2.136448939,48.56047398
87011,1.041331172,46.10448746
51380,3.560461953,48.88002716
56013,-3.162237041,47.67201508
10064,4.538887745,48.39755938
27065,0.342888613,49.33781545
67281,7.560668839,48.14965294
62364,2.123458897,50.51278246
62588,1.771929832,50.46568026
59092,3.311926046,50.28145684
67474,7.872850825,48.94654297
61145,-0.651366855,48.5918022
72269,0.746226663,47.92415742
72176,0.150346101,47.64014056
57089,7.459837418,49.04746707
22172,-2.219378518,48.514731
28051,1.385569035,48.18115583
71047,3.768405913,46.62064535
19010,1.939431377,45.11336
56066,-3.604120852,48.13646658
31042,0.626862902,42.73515542
57106,6.541021605,49.299011
17283,-0.5573465,45.57745999
22020,-2.240962438,48.31125915
28061,1.157502451,48.21735303
81124,2.688435366,43.69734071
70467,6.266096379,47.87853101
72334,-0.132608467,48.18721614
56034,-3.069965984,47.60848158
56124,-2.386881263,47.80734215
57177,6.717569457,48.80795869
47052,0.084402892,44.31166016
22362,-3.232231513,48.78434533
53107,-0.801423353,48.4216809
40075,-1.144917062,43.87402349
83036,6.520921352,43.18189835
62770,2.525507314,50.62276733
66049,2.752627201,42.47422633
28214,1.022831799,48.47295928
79062,-0.672343955,46.8221787
40313,-0.783116951,43.81825817
56091,-2.54786559,47.95404079
88090,6.31861873,48.38478158
24551,0.912741406,45.42916757
59580,2.585491259,50.821381
39500,5.896926502,46.94840431
62080,2.856187255,50.10085927
71120,4.342143682,46.20654565
42059,4.373910667,45.62908782
31144,0.634506048,42.91221404
46128,1.716594827,44.76345359
14174,-0.583996186,48.88121074
69066,4.345134402,46.10576101
53084,-0.942691226,47.84535292
10123,4.513104457,48.32899107
19073,2.036613675,45.4214137
43112,3.478064159,45.08252094
12096,2.764219681,44.51910218
39434,5.732501667,46.82160839
57207,6.866343847,49.11668257
83055,6.678402882,43.61023811
76276,1.562094206,49.60911959
32256,0.410482228,43.51868565
27275,1.346237822,49.15891543
83065,6.585762178,43.23955561
51612,3.992857405,48.9237722
65304,0.04427294,43.46905016
40119,-0.590593949,43.65036774
58059,3.02963815,47.18343358
41149,0.854863374,47.7650981
17161,-1.321534425,46.17946653
17051,-1.377093598,46.18289484
32119,0.105597834,43.86073567
47264,0.377972602,44.61229896
47168,0.355794848,44.58385098
27428,0.896808023,49.14874391
21663,4.439922026,47.53763775
38315,5.661292654,45.53166108
73204,5.681734492,45.53540661
71106,4.280105827,46.44708878
29027,-3.820769176,48.18877265
38001,5.587937517,45.53363056
85215,-1.162916287,46.87023689
32462,0.298342886,43.76172693
27016,1.428360219,49.2455994
50267,-1.530985592,49.22496682
68185,7.275897062,48.26774844
85113,-2.346944297,46.70974
56117,-2.837398782,47.8801474
49180,-0.107472476,47.39845129
68091,7.533309941,47.90994783
44087,-1.818319975,46.99980748
13053,5.183485835,43.72868593
32227,0.05833906,43.81771391
48092,3.288084308,44.55768331
82013,1.010514168,43.87678949
14342,-1.06981632,49.28508615
15120,2.31684538,45.21855679
51559,4.52540627,49.12544662
53271,-0.291658281,48.34003171
46309,1.463085585,44.90726005
79174,-0.147790006,46.23096227
67061,7.465427961,48.81742041
59400,2.635671196,50.64534938
57483,6.642664904,48.92792985
40197,-0.888389018,44.04104894
38261,5.470050406,45.6801881
74191,6.742547201,46.1731268
55181,5.636602629,49.21662914
64410,-0.617087567,43.37395689
32208,0.650572476,43.94021416
51388,4.386579478,49.13283129
67324,7.639612053,48.96378787
76101,1.620715338,49.91698631
32296,-0.030376461,43.76135776
27438,1.177001677,48.77788207
80615,2.698185543,50.02863497
38384,5.348557859,45.34591819
57540,7.263430917,48.76686045
22190,-2.071243134,48.52750576
56168,-3.1221673,47.60037748
69206,4.721278251,46.05814828
56177,-3.015820428,47.78255476
11266,3.038141317,43.02155535
41220,1.62531737,47.70947737
13078,4.805950958,43.41607621
56186,-3.122862269,47.48803005
83101,6.637226972,43.2186774
67388,7.675739321,48.93740058
68287,7.308042742,47.96415878
41198,1.334123595,47.25013317
71389,3.76261068,46.56809724
13092,5.072995793,43.54378101
68298,7.169097707,48.2287143
27116,0.71208513,49.18814861
43224,4.228651517,45.24690543
40261,-1.236150012,43.6867614
38399,5.147405224,45.49825554
64485,-1.23496212,43.15948083
28348,1.187509763,48.75103132
17369,-1.366523259,46.19908508
35297,-2.194998591,48.19231562
56140,-2.803847653,47.93296275
73117,6.638333858,45.17914866
