"","siren_nic","code_attraction_centre","code_commune_geo","name_commune_src_attr","name_attraction_centre","category_attraction_centre","code_region","name_region","code_department","code_commune_geo.y","name_commune","population_commune","latitude","longitude","siren.x","nic.x","siret","date_creation","year_workforce_record_update","date_latest_update","headquarter","date_creation_legal_unit","category","legal_shop_name","acronym_shop","popular_name_1","popular_name_2","popular_name_3","owner_gender","owner_lastname","owner_lastname_chosen","owner_firstname_1","owner_firstname_2","owner_firstname_3","owner_firstname_4","owner_firstname_used","owner_pseudonym","apen_code","rna_registration_code","social_category","workforce_category","year_workforce_survey","nic_centralized","date_sirene_last_update","category_business","year_category_survey","shop_address_complement_1","name_commune_src_etab","shop_address_complement_2","franchise_1","franchise_2","franchise_3","shop_name_public","shop_address_1","shop_address_2","population_attr_centre","siren.y","nic.y","franchise","carte_blanche","itelis","kalixia","sante_clair","seveane","promotion","audio_service","image date","website"
"164","48513011626","679","62588","Montreuil","Montreuil",11,"32","Hauts-de-France","62","588","Montreuil",2144,50.4655272073,1.77098646216,485130116,26,4.8513e+13,"15-10-2014",NA,2018-09-29 12:29:01,TRUE,"01-12-2005",5499,"VIOLAINE ET AMELIE OPTIQUE",NA,"CLIN D'OEIL OPTIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"NN",NA,26,2018-09-29 12:29:01,"PME",2019,NA,"MONTREUIL",NA,"CLIN D'OEIL OPTIQUE",NA,NA,"CLIN D'OEIL OPTIQUE","17 PL GENERAL DE GAULLE 62170","  ",2144,"485130116","26",NA,0,0,0,0,0,NA,0,2019-05-01,NA
"165","48525939424","619","21663","Venarey-les-Laumes","Venarey-les-Laumes",11,"27","Bourgogne-Franche-Comté","21","663","Venarey-les-Laumes",2921,47.5377240472,4.43966492373,485259394,24,4.85259e+13,"29-03-2007",2019,2021-10-27 08:23:23,TRUE,"22-11-2005",5710,"OPTIQUE VENAREY LES LAUMES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,24,2021-10-27 08:23:23,"PME",2019,"CTRE CIAL SUPER U","VENAREY-LES-LAUMES",NA,NA,NA,NA,NA," PL DE LA LIBERATION 21150","  ",5272,"485259394","24","optic 2000",1,0,1,1,1,NA,0,2022-04-01,"https://opticiens.optic2000.com/opticien-venarey-les-laumes-21150-2002"
"166","48750939026","483","40119","Hagetmau","Hagetmau",11,"75","Nouvelle-Aquitaine","40","119","Hagetmau",4829,43.6504279428,-0.590576524806,487509390,26,4.87509e+13,"29-10-2018",2019,2021-10-27 08:23:47,TRUE,"04-11-2005",5499,"OPTIQUE DE LA FONTAINE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,26,2021-10-27 08:23:47,"PME",2019,NA,"HAGETMAU",NA,NA,NA,NA,NA,"181 RUE VICTOR HUGO 40700","  ",9716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","48772148215","552","88090","Charmes","Charmes",11,"44","Grand Est","88","090","Charmes",4742,48.3848071988,6.31788990054,487721482,15,4.87721e+13,"20-12-2005",2019,2021-10-27 08:24:10,TRUE,"20-12-2005",5499,"SARL OPTIQUE PALUSINSKI",NA,"OPTIQUE MEDICALE PALUSINSKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,15,2021-10-27 08:24:10,"PME",2019,NA,"CHARMES",NA,NA,NA,NA,NA,"2 RUE DES CAPUCINS 88130","  ",7328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","48782084735","513","17161","La Flotte","La Flotte",11,"75","Nouvelle-Aquitaine","17","161","La Flotte",2804,46.1793660462,-1.32163012232,487820847,35,4.87821e+13,"21-02-2020",NA,2021-02-23 13:51:59,FALSE,"27-12-2005",5710,"S2BH OPTIQUE CHATEL",NA,"S2BH OPTIQUE CHATEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","1",2019,27,2021-12-21 03:54:41,"PME",2019,"ZA LA CROIX MICHAUD","LA FLOTTE",NA,"OPTIQUE LA FLOTTE",NA,NA,NA,"6 RUE DE LA CAILLOTIERE 17630","  ",8560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","48791185111","518","65025","Argelès-Gazost","Argelès-Gazost",11,"76","Occitanie","65","025","Argelès-Gazost",3070,43.006001672,-0.0963626224791,487911851,11,4.87912e+13,"03-02-2006",NA,2019-11-14 14:00:52,TRUE,"03-02-2006",5499,"LES LUNETIERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,NA,NA,11,2017-12-05 02:53:39,"PME",2019,NA,"ARGELES-GAZOST",NA,"LES LUNETIERS",NA,NA,NA,"25 RUE MARECHAL FOCH 65400","  ",8603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","48807178819","501","57106","Bouzonville","Bouzonville",11,"44","Grand Est","57","106","Bouzonville",4027,49.2988626834,6.54161019887,488071788,19,4.88072e+13,"01-02-2006",2019,2021-10-27 08:24:45,TRUE,"01-02-2006",5499,"REPUBLIC OPTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"2",2019,19,2021-10-27 08:24:45,"PME",2019,NA,"BOUZONVILLE",NA,"LA CENTRALE D'OPTIQUE",NA,NA,NA,"42 RUE DE LA REPUBLIQUE 57320","  ",8799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","48807546626","628","30321","Sommières","Sommières",11,"76","Occitanie","30","321","Sommières",4979,43.7756118498,4.08232743857,488075466,26,4.88075e+13,"02-12-2006",2019,2021-10-27 08:24:45,TRUE,"13-12-2005",5499,"LES EXPERTS DE L'OPTIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","1",2019,26,2021-10-27 08:24:45,"PME",2019,"CENTRE COMMERCIAL ""LES GARRIGUES""","SOMMIERES",NA,"OPTIC DES GARRIGUES",NA,NA,NA," RTE DE SAUSSINES 30250","  ",4979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","48834620629","489","27428","Le Neubourg","Le Neubourg",11,"28","Normandie","27","428","Le Neubourg",4375,49.1482790328,0.897176574238,488346206,29,4.88346e+13,"15-01-2007",2019,2021-10-27 08:25:12,TRUE,"01-01-2006",5499,"LABORDE 2 OPTIQUE",NA,"LABORDE 2 OPTIQUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,"N","2",2019,29,2021-10-27 08:25:12,"PME",2019,NA,"LE NEUBOURG",NA,"SARL LABORDE  2 OPTIQUE",NA,NA,NA,"1 RUE DUPONT DE L'EURE 27110","  ",9606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","48959770810","582","71106","Charolles","Charolles",11,"27","Bourgogne-Franche-Comté","71","106","Charolles",3220,46.4476067658,4.28009429694,489597708,10,4.89598e+13,"28-03-2006",2019,2021-10-27 08:27:02,TRUE,"28-03-2006",5499,"SARL BALIGAND - DAUVERGNE",NA,"VISION PLUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.78A",NA,NA,"1",2019,10,2021-10-27 08:27:02,"PME",2019,NA,"CHAROLLES",NA,"VISION PLUS",NA,NA,NA,"1 T RUE DE CHAMPAGNY 71120","  ",6830,"489597708","10","vision plus",1,0,0,0,1,NA,0,2021-09-01,"https://www.lecollectifdeslunetiers.fr/opticien/france/saone-et-loire/opticien-charolles/charolles"
